Query,Query Path,SrcFileName,Line,Column,NodeID,Name,DestFileName,DestLine,DestColumn,DestNodeId,DestName,Result State,Result Severity,Comment,Link,Result Status,Detection Date
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/vulnerable_airline_reservation/backend/src/main/java/controller/FlightController.java,30,19,,rs,/vulnerable_airline_reservation/backend/src/main/java/controller/FlightController.java,36,31,,toString,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,php/PHP_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/frontend/register.php,5,18,,_POST,/vulnerable_airline_reservation/frontend/register.php,11,26,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,php/PHP_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/frontend/register.php,6,18,,_POST,/vulnerable_airline_reservation/frontend/register.php,11,26,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,php/PHP_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/frontend/register.php,7,15,,_POST,/vulnerable_airline_reservation/frontend/register.php,11,26,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,php/PHP_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/frontend/flights.php,6,22,,_GET,/vulnerable_airline_reservation/frontend/flights.php,9,36,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
Stored_XSS,php/PHP_Critical_Risk/Stored_XSS,/vulnerable_airline_reservation/frontend/flights.php,9,15,,mysqli_query,/vulnerable_airline_reservation/frontend/flights.php,12,65,,BinaryExpr,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/vulnerable_airline_reservation/backend/src/main/java/controller/FlightController.java,79,50,,readAllBytes,/vulnerable_airline_reservation/backend/src/main/java/controller/FlightController.java,95,16,,response,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,java/Java_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/backend/src/main/java/controller/AuthController.java,28,111,,email,/vulnerable_airline_reservation/backend/src/main/java/controller/AuthController.java,33,27,,executeUpdate,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,php/PHP_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/frontend/book.php,6,19,,_POST,/vulnerable_airline_reservation/frontend/book.php,10,26,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,php/PHP_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/frontend/book.php,5,22,,_POST,/vulnerable_airline_reservation/frontend/book.php,10,26,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,php/PHP_Critical_Risk/SQL_Injection,/vulnerable_airline_reservation/frontend/login.php,6,18,,_POST,/vulnerable_airline_reservation/frontend/login.php,10,36,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/fc7d0495-f2d5-4363-b5dd-82f6e826395b/8cca820f-f00a-4289-91e5-8a61df862cb3/sast,RECURRENT,06/24/2025 03:56
